system:index,snow_km2,snow_pct,week_end,week_start,.geo
0,0,0.0,2016-10-08,2016-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.0,2016-10-15,2016-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0,0.0,2016-10-22,2016-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,0.0,2016-10-29,2016-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.0,2016-11-05,2016-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.0,2016-11-12,2016-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.0,2016-11-19,2016-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0,0.0,2016-11-26,2016-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0,0.0,2016-12-03,2016-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0,0.0,2016-12-10,2016-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0,0.0,2016-12-17,2016-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0,0.0,2016-12-24,2016-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,0.0,2016-12-31,2016-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0,0.0,2017-01-07,2016-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,159.3970020741422,4.422728715292705,2017-01-14,2017-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0,0.0,2017-01-21,2017-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,0.0,2017-01-28,2017-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,0.0,2017-02-04,2017-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1.0328662488357843,0.028658551656184073,2017-02-11,2017-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0,0.0,2017-02-18,2017-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0,0.0,2017-02-25,2017-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0,0.0,2017-03-04,2017-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0,0.0,2017-03-11,2017-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0,0.0,2017-03-18,2017-03-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,0.0,2017-03-25,2017-03-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0,0.0,2017-04-01,2017-03-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,185.7815950509385,5.154812101312156,2017-04-08,2017-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,3.1925343409313722,0.08858205060611858,2017-04-15,2017-04-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,75.10037694856005,2.083781936533579,2017-04-22,2017-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0,0.0,2017-04-29,2017-04-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,38.9401080078125,1.0804565432331301,2017-05-06,2017-04-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,18.1396550234375,0.50331419106831,2017-05-13,2017-05-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,5.3156121224979564,0.14749029196041258,2017-05-20,2017-05-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,12.328888054687502,0.3420850236677143,2017-05-27,2017-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,0.44407592668504897,0.012321607854372526,2017-06-03,2017-05-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,0,0.0,2017-06-10,2017-06-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,0,0.0,2017-06-17,2017-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1.0524191873978759,0.02920107969448866,2017-06-24,2017-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,0,0.0,2017-07-01,2017-06-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,0,0.0,2017-07-08,2017-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,0,0.0,2017-07-15,2017-07-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1.2491102877553106,0.034658593739757305,2017-07-22,2017-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,0,0.0,2017-07-29,2017-07-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,0,0.0,2017-08-05,2017-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,0.0,2017-08-12,2017-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,0,0.0,2017-08-19,2017-08-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,0,0.0,2017-08-26,2017-08-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,0.5478951640216502,0.015202241217569646,2017-09-02,2017-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,0,0.0,2017-09-09,2017-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,0,0.0,2017-09-16,2017-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,0,0.0,2017-09-23,2017-09-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,0,0.0,2017-09-30,2017-09-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,0,0.0,2017-10-07,2017-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,0,0.0,2017-10-14,2017-10-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,0.0,2017-10-21,2017-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,0,0.0,2017-10-28,2017-10-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,0,0.0,2017-11-04,2017-10-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,0,0.0,2017-11-11,2017-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,0,0.0,2017-11-18,2017-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,0,0.0,2017-11-25,2017-11-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,183.0967674842167,5.080317199774253,2017-12-02,2017-11-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,851.2037701760387,23.618031129417894,2017-12-09,2017-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,0,0.0,2017-12-16,2017-12-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,299.8585855044577,8.320063485389458,2017-12-23,2017-12-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,7.526519299754902,0.20883550255071442,2017-12-30,2017-12-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,0,0.0,2018-01-06,2017-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,335.56608572147667,9.310826075062712,2018-01-13,2018-01-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,713.1606410686582,19.78780030256653,2018-01-20,2018-01-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,376.03170079577205,10.433610289585278,2018-01-27,2018-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,1330.3111388730958,36.911643240511346,2018-02-03,2018-01-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,0,0.0,2018-02-10,2018-02-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,0,0.0,2018-02-17,2018-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,0.21728871102941175,0.0060290282080193245,2018-02-24,2018-02-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,359.14371119917286,9.965025588740643,2018-03-03,2018-02-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,247.28447756334245,6.861309469652616,2018-03-10,2018-03-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,188.40291618141848,5.22754491362932,2018-03-17,2018-03-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,143.2523639999606,3.9747695097897178,2018-03-24,2018-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,77.07489738325674,2.138568213011999,2018-03-31,2018-03-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,56.07339934866205,1.555847539391293,2018-04-07,2018-03-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,7.540925486979167,0.20923522561379312,2018-04-14,2018-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,7.321780260416667,0.20315468536695416,2018-04-21,2018-04-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,6.800277856770834,0.1886847541531553,2018-04-28,2018-04-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,6.731410656250001,0.18677392182053942,2018-05-05,2018-04-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,3.6703550532552085,0.10183996234634865,2018-05-12,2018-05-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.2747337552083333,0.007622934261052861,2018-05-19,2018-05-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0,0.0,2018-05-26,2018-05-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,1.7131126540134802,0.04753309302462608,2018-06-02,2018-05-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0,0.0,2018-06-09,2018-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
