system:index,snow_km2,snow_pct,week_end,week_start,.geo
0,0,0.0,2021-10-08,2021-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0,0.0,2021-10-15,2021-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1.86212425,0.051667661780032334,2021-10-22,2021-10-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.238668400390625,0.006622242414255736,2021-10-29,2021-10-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0,0.0,2021-11-05,2021-10-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,0.0,2021-11-12,2021-11-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0,0.0,2021-11-19,2021-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,182.57021400928306,5.06570711838362,2021-11-26,2021-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,621.7853832377011,17.252445362275548,2021-12-03,2021-11-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,171.14756182537786,4.748767080859829,2021-12-10,2021-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,611.3536020741882,16.96299865058609,2021-12-17,2021-12-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1593.132344100261,44.204044453962936,2021-12-24,2021-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1419.659394017526,39.39075569900516,2021-12-31,2021-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,957.5002112993878,26.567398535154823,2022-01-07,2021-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,565.897192133946,15.701736726454584,2022-01-14,2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2555.5162883061366,70.90695009077137,2022-01-21,2022-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2951.9804876242642,81.9074932383408,2022-01-28,2022-01-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,3038.81707867074,84.31691549698992,2022-02-04,2022-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2349.7563151754753,65.19780544073873,2022-02-11,2022-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1243.3139464249086,34.49776483512281,2022-02-18,2022-02-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1258.374995613971,34.91565810704218,2022-02-25,2022-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,583.9887623073225,16.2037167252585,2022-03-04,2022-02-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
