,Sentinel-2,,,Modis,,,Temperature-Celsius,,,Precipitation-mm,,
week_start,snow_km2 - above 1200,snow_km2 - between 1200 - 1800,snow_km2 - above 1800,snow_km2 - above 1200,snow_km2 - between 1200 - 1800,snow_km2 - above 1800,Temp- 1200,Temp-1200-1800,Temp-1800,precipitation-1200,precipitation-1200-1800,precipitation-1800
02/09/2017,0,0,0,0,0,0,25.05571589,23.29807731,21.6272758,1.907113814,3.295933864,3.970478762
09/09/2017,0,0,0,0,0.009,0,26.11402167,24.60694044,22.84437926,8.239418989,2.789381137,1.277072623
16/09/2017,0,0,0,0,0,0,23.11586644,21.340582,19.73643389,12.95237003,10.67935167,8.037374354
23/09/2017,0,0,0,0,0,0,20.86671543,18.77280281,17.34618357,10.04358322,12.71881496,15.23502822
30/09/2017,0,0,0,0,0.139,0.007,20.04815821,16.93236569,14.76597156,17.67059832,6.749287503,7.718580001
07/10/2017,0,0,0,3.594,4.557,10.474,18.19873452,15.11222602,13.06829721,150.5517404,95.29909661,82.50459793
14/10/2017,0,0,0,0.499,0.4,0.196,18.30135012,15.09010619,12.73503,104.2620714,94.68775348,74.78160796
21/10/2017,0,0,0,0.006,0,0,18.18662464,15.3996128,13.36132417,10.89420695,8.442394169,9.363731186
28/10/2017,20.5093023,20.5093023,0,29.805,1.461,0.604,14.99071028,11.54846823,9.632968648,388.4476639,268.1634884,219.8908308
04/11/2017,0,0,0,0.484,0.672,0.131,14.22867355,10.94392513,8.85470703,63.40203552,43.65537416,50.55276823
11/11/2017,0,0,0,0.003,0,0,15.06929098,11.94526023,10.10114166,1.639234446,0.507897338,0.499430751
18/11/2017,0,0,0,27.617,10.177,69.605,11.85875891,8.214656853,6.056211719,345.9420886,268.2446988,260.5574386
25/11/2017,184.1997126,0.309311375,183.8904013,51.129,1.599,130.422,11.22526454,7.508950236,5.397942683,81.38830839,57.10284543,50.82788848
02/12/2017,1123.075177,574.0606472,549.01453,28.205,160.297,298.505,10.58674306,7.403819692,5.755394097,336.0419733,373.670389,345.4033621
09/12/2017,0,0,0,1.202,115.219,537.248,10.56408441,7.559680388,5.997491249,5.222485632,2.688173769,1.127011973
16/12/2017,632.5158645,303.6603085,328.855556,11.271,17.788,159.999,13.32382402,10.69664078,8.955819024,5.401476463,6.100544131,7.877861435
23/12/2017,19.82435067,2.10793498,17.71641569,34.504,236.69,484.784,10.34741824,7.151963968,5.591900868,423.4100257,328.7187646,282.9536048
30/12/2017,20.03008682,6.454187984,13.57589884,262.539,83.373,92.801,8.645132503,5.073440728,3.170839171,426.3748951,395.652176,339.7473946
06/01/2018,392.6643373,77.31673489,315.3476024,6.132,87.363,495.892,8.988493179,5.952275159,4.613299991,42.66681024,47.27291759,37.31279599
13/01/2018,746.8383529,37.25722459,709.5811283,126.517,42.625,311.576,7.52582605,3.624402823,1.596441663,662.3386504,534.3621984,408.1303608
20/01/2018,1485.797989,742.8948318,742.9031576,102.595,"1,010.42",838.938,7.287054123,3.374124295,1.409488926,759.4929366,649.1842406,541.3642643
27/01/2018,1343.004459,297.4366985,1045.56776,11.737,219.237,807.406,6.943543266,3.429397102,1.571013367,31.16652868,24.72274221,20.56998241
03/02/2018,0,0,0,1.589,74.176,556.867,12.9125184,10.66219391,8.912307055,7.341640572,8.490989192,9.88718142
10/02/2018,0,0,0,1.473,8.413,368.317,11.11582891,7.801441589,5.945998164,324.6521939,293.0417424,230.3294223
17/02/2018,10.39224634,0,10.39224634,10.631,196.779,851.326,9.445359615,5.954989218,3.816306687,632.3679555,578.1414616,548.8812583
24/02/2018,359.6583993,2.681754094,356.9766452,6.376,6.758,399.646,9.635093156,6.054121952,3.865765275,312.1245401,292.1401518,255.2774526
03/03/2018,257.993167,0,257.993167,0.473,0.859,218.915,13.91181551,11.09817947,9.124980741,14.72288786,12.83517027,10.6211273
10/03/2018,187.915095,0,187.915095,1.466,0.028,125.009,11.38166591,8.536936518,6.818538969,66.60133439,59.50858742,47.69843453
17/03/2018,139.7706573,0,139.7706573,0.198,0,84.921,15.75225147,13.16183539,11.37683054,3.172818917,2.885586117,2.45080182
24/03/2018,76.99364557,0,76.99364557,0.246,0.089,58.788,14.05008653,11.22591672,9.546103721,276.1108855,259.9461549,197.3651653
31/03/2018,135.7876016,50.54109007,85.2465115,0.192,0.004,52.534,14.72197101,12.2637071,10.53428679,7.213272193,5.793079746,3.7548943
07/04/2018,13.35354732,2.422485574,10.93106175,0.21,0.934,23.255,13.946174,11.27593941,9.080336089,194.8326162,222.2670287,277.8552417
14/04/2018,28.44816679,0,28.44816679,0,0,12.493,17.52800113,15.19685795,13.05808378,1.263497527,0.904959734,0.936134062
21/04/2018,11.59268649,3.063010188,8.529676302,0.296,0.319,7.404,15.34905173,12.3885261,10.30467266,257.3259132,206.2815456,221.2095849
28/04/2018,30.85748222,13.70816777,17.14931445,0.442,3.396,8.44,19.50394678,15.85703511,13.34447384,129.5611415,198.0744914,208.1154979
05/05/2018,266.2352201,222.5153918,43.71982832,2.311,0,5.351,17.13043581,14.06077206,11.88897852,414.644299,399.4388047,379.2804897
12/05/2018,0.257562051,0,0.257562051,1.049,0.082,0.112,18.69466093,15.66819237,13.43925425,89.34184408,67.52876651,56.28521706
19/05/2018,0,0,0,0.048,0,0,23.75979311,21.37815091,18.91340046,14.25285068,28.1670312,38.29920891
26/05/2018,24.81962759,16.34729243,8.472335168,0.304,0.427,0.636,19.85101987,17.29329643,15.02924202,306.4330414,309.6699557,384.7833401
02/06/2018,0,0,0,0.275,1.418,1.899,21.48745303,19.09767079,16.76246889,52.31980449,71.70975678,90.10523906
09/06/2018,0,0,0,0.199,0.248,0.194,21.37402476,18.95327068,17.0453408,128.2456949,162.2676105,155.2472086
16/06/2018,0.205502047,0.205502047,0,0.036,0.058,0.139,21.7973574,19.19157644,17.41760517,12.04226308,7.052862711,12.66031839
23/06/2018,0,0,0,0,0,0,22.88084537,21.02083225,19.63586027,1.568766397,0.291598852,0.152590514
30/06/2018,0,0,0,0,0,0,23.87524265,22.61466589,21.41041924,1.223015254,0.364290242,0.280785945
07/07/2018,0,0,0,0,0,0,24.17861142,22.538673,21.34220847,0.594890567,0.085867046,0.073294551
14/07/2018,0,0,0,0,0.066,0,24.69748581,22.40443719,20.62427815,2.344217794,0.094228157,0.068642796
21/07/2018,0,0,0,0,0.046,0.011,24.7560073,22.39950705,20.7588428,6.435283647,1.285729312,1.133521496
28/07/2018,0,0,0,0.032,0.464,0.071,23.39080553,21.04446773,19.99369245,10.31387982,1.915815485,0.929787723
04/08/2018,0,0,0,0,0,0,24.59736154,22.42658212,20.89866785,3.172232317,1.387417817,1.703864255
11/08/2018,0,0,0,0,0,0,24.47165217,22.25644556,20.73026151,2.432101377,0.075126681,0.057201522
18/08/2018,0,0,0,0,0,0,24.39956727,22.64304804,21.22705886,2.904094233,1.743852573,0.998672175
25/08/2018,0,0,0,0,0,0,24.43446145,22.87825144,21.72378357,10.95351373,6.365927693,5.610926508
01/09/2018,0,0,0,0,0,0,24.73929434,22.7081653,21.18129757,7.813745097,2.387528628,1.288676285
08/09/2018,1.652973695,1.652973695,0,3.534,0.091,0,22.74531824,20.21574833,18.33284167,41.79962488,38.21386281,44.79744013
15/09/2018,0,0,0,0,0.025,0.003,22.7752786,20.49630786,18.63870779,16.77001667,17.020552,18.5991105
22/09/2018,0,0,0,0,0,0,23.13357323,21.0142563,19.07501147,4.478913884,4.646880576,4.3335482
29/09/2018,0,0,0,0.354,0,0,23.54285808,20.89998087,18.49375119,37.8815404,54.77252047,80.98268208
06/10/2018,723.2173643,287.6663274,435.5510368,3.55,3.757,0.874,20.13802604,17.26732227,14.97505248,156.7594698,136.1986055,149.36321
13/10/2018,2.111822301,0,2.111822301,1.259,0,0.023,19.70300084,16.88830582,14.50253488,111.0000473,108.1311879,119.4354297
20/10/2018,0,0,0,5.196,2.264,0.169,18.0631085,14.52953332,12.16766681,567.6704397,567.7464918,567.8005189
27/10/2018,25.19636281,0,25.19636281,0,0,13.677,14.79927236,11.58689361,10.05782461,5.146007202,5.778509411,4.905617996
03/11/2018,2.687075488,1.035501777,1.65157371,0.57,2.837,0.781,13.43509665,9.607591102,7.308050375,132.3129408,185.2693561,165.5917568
10/11/2018,73.11508713,44.91164791,28.20343922,48.815,36.416,81.537,12.35028992,8.552882235,6.250875527,330.5327038,337.0812825,375.7605858
17/11/2018,298.322399,63.00478711,235.3176119,4.21,0.996,82.154,13.09642914,9.560305581,7.49203046,104.6642706,68.50289563,73.89045076
24/11/2018,235.0304611,95.78081104,139.2496501,16.11,2.086,75.815,12.36981519,8.892781071,6.877697552,191.1183238,131.4685876,150.1756258
01/12/2018,0,0,0,47.07,21.833,46.475,10.72761894,6.988850948,5.024466875,423.5436034,251.8632726,233.4606116
08/12/2018,369.1767113,212.4594625,156.7172488,32.991,4.999,221.302,9.95305796,6.361382436,4.557619732,481.2674544,376.1551208,268.8391777
15/12/2018,198.5949301,0.102840664,198.4920894,57.963,24.154,282.391,9.667969735,6.061365314,4.201656787,351.5431028,250.5695938,230.6678753
22/12/2018,596.3793281,5.528119148,590.851209,18.292,17.702,305.774,8.436953956,4.771257168,2.973728336,481.0600813,401.5548208,330.2191207
29/12/2018,1309.467575,439.392011,870.0755639,36.76,296.003,900.445,7.475864324,3.635972611,1.553841461,314.0198434,245.2467765,210.706694
05/01/2019,2361.771609,1390.573785,971.1978243,257.863,904.148,855.949,4.967163516,0.417097493,-1.494025568,1164.693287,1084.488454,871.6358581
12/01/2019,2196.291425,1093.398248,1102.893177,473.332,"1,520.24",905.756,5.575476151,0.94377567,-0.907770649,400.65697,304.7896726,235.5531169
19/01/2019,3136.931475,1905.52379,1231.407685,245.012,"1,340.80",898.638,6.875110773,2.532190726,0.551656751,6.205083568,8.639041079,10.31070689
26/01/2019,1870.795859,892.656968,978.1388908,12.208,782.118,826.677,8.196135575,4.269425894,2.148014083,97.09353706,76.50845236,58.34222954
02/02/2019,1512.076373,560.0457252,952.0306478,4.602,459.489,749.906,9.207353914,5.522768233,3.907979901,304.8113743,303.9563729,299.2011949
09/02/2019,1096.411622,389.2962188,707.1154036,22.575,352.784,788.103,7.002413445,3.263028244,1.271564501,434.0172516,316.5440927,290.2149892
16/02/2019,1445.559735,378.3745463,1067.185189,21.748,355.266,772.792,6.613151747,2.941390159,0.74936219,239.4795378,174.9142368,182.8510618
23/02/2019,1331.779843,331.35769,1000.422153,42.451,423.086,742.133,7.743951659,3.75089777,1.461295039,912.3713117,737.143997,611.2153228
02/03/2019,692.1718556,255.5573877,436.6144679,6.775,305.14,816.684,7.690392419,3.922956409,1.776469997,207.4254966,179.26685,147.3894163
09/03/2019,1237.51494,266.433134,971.0818061,15.547,203.115,762.25,9.603054652,6.640293332,4.976554727,143.0166233,115.0406191,91.59317977
16/03/2019,832.0996601,169.7008347,662.3988254,9.079,154.681,684.711,10.59743134,7.313393817,5.078827632,287.0902497,244.9988931,240.3577143
23/03/2019,0,0,0,4.69,20.734,300.398,9.982004863,6.379094299,4.139231595,211.4607958,244.2412785,226.133928
30/03/2019,4.384154748,0,4.384154748,5.507,46.161,509.917,9.551287795,6.164254595,4.051791158,680.4790853,617.5291134,592.9706991
06/04/2019,422.7690007,10.89775602,411.8712447,0.198,22.425,337.788,12.63156394,9.448721212,7.348156755,65.99164578,82.08670148,98.50445232
13/04/2019,0,0,0,1.095,10.861,258.593,11.91055498,8.435113174,6.420541703,314.3404092,322.0060935,290.801766
20/04/2019,424.3808611,16.88769125,407.4931698,1.771,124.673,597.054,10.98545444,7.407971903,5.148806035,395.7612048,384.219981,323.8026518
27/04/2019,284.8997114,3.200836813,281.6988746,0.323,4.37,213.777,17.31183195,14.55150907,12.20995604,36.7596084,57.54172755,67.99735589
04/05/2019,140.4469016,18.08646863,122.3604329,0.165,0.315,123.781,15.08537226,12.33759476,10.7495299,34.38698484,35.51421963,40.06800139
11/05/2019,218.3936405,73.25801063,145.1356299,0.331,0.034,74.401,21.17021009,19.0556569,17.18345231,9.421946203,14.80123177,21.86773145
18/05/2019,66.31336029,0,66.31336029,0.069,0,34.202,22.58418737,20.34412929,18.35196313,10.18130544,15.31620774,14.79111456
25/05/2019,34.94129438,0,34.94129438,0,0,18.88,23.77902924,22.11596896,20.47943636,2.918166969,4.713225741,5.127267125
01/06/2019,12.03008625,0,12.03008625,0.328,0,10.959,24.64547863,22.57554735,20.56295552,38.01925785,77.59970196,130.3670065
08/06/2019,8.127513527,0,8.127513527,0,0.652,3.945,21.82270368,19.51389256,17.52975934,44.87358974,51.66779363,69.449639
15/06/2019,1.159371988,0,1.159371988,0,0.124,0.733,21.07671939,18.4602318,16.8410173,63.99579478,57.46039977,50.9442975
22/06/2019,0,0,0,0.188,0,0.028,24.61339398,23.11148282,21.76185856,1.476418416,1.599700971,1.226373184
29/06/2019,0,0,0,0.026,0.218,0.062,23.56419398,21.34271952,19.62954229,0.951816753,0.577284993,0.43393325
06/07/2019,0,0,0,0,0,0,24.94076009,22.75578477,20.83048676,1.251005775,0.686744767,1.768898518
13/07/2019,0,0,0,0.015,0.124,0.06,23.24402128,20.67062991,19.11925457,15.51112792,4.724383273,4.007960078
20/07/2019,0,0,0,0,0,0,24.22148575,22.15567282,20.63941156,0.330590995,0.095286168,0.086017299
27/07/2019,0,0,0,0.276,0,0,24.98839083,23.248855,21.72828343,1.221218869,0.126622516,0.056461991
03/08/2019,0,0,0,0.131,0,0,24.27893239,22.27953562,20.82117337,4.050124826,2.704141493,3.323114618
10/08/2019,0,0,0,0,0.014,0,25.00398538,23.11310519,21.78096317,1.303048693,0.135369708,0.096958862
17/08/2019,0,0,0,0.059,0.011,0,23.96240804,21.6870105,20.18264967,6.931635443,1.485176134,2.443830443
24/08/2019,0,0,0,0,0,0,25.68070708,23.86698011,22.25859191,10.22622531,16.14497731,18.91308284
31/08/2019,0,0,0,0,0,0,23.66958396,21.58456492,20.1625851,1.942076899,0.752355577,0.792215736
07/09/2019,0,0,0,0,0.086,0.054,22.79184069,20.23605713,18.33357432,6.690528303,3.082156677,2.483739244
14/09/2019,0,0,0,0,0.228,0.043,23.11194653,20.88189583,19.1076041,44.00519633,37.14921503,33.91716204
21/09/2019,0,0,0,0,0,0,21.88910655,19.73690512,18.01939952,5.926384789,9.567755984,9.225274691
28/09/2019,0,0,0,0,0,0,21.72417642,19.78499453,18.22476468,24.37687759,13.47798978,7.74866168
05/10/2019,0,0,0,0.094,0,0,21.30770214,19.02971707,17.34046005,4.059822619,2.148814483,1.964883682
12/10/2019,0,0,0,0.46,0.057,0,22.76643677,19.42439711,17.17391259,86.45990268,111.6975009,105.5265371
19/10/2019,4.872275917,3.691832715,1.180443203,4.506,7.741,3.467,17.80018937,14.23627688,11.94379056,222.3685585,253.8354283,275.4912719
26/10/2019,526.6051507,247.7145118,278.8906389,8.423,3.859,3.255,15.73297824,12.02717918,9.70598844,237.4790593,243.3534167,276.3792343
02/11/2019,152.6224361,100.4668791,52.15555698,4.478,1.965,1.073,16.89640943,12.94083966,10.43384416,74.59321374,49.03349884,55.07412106
09/11/2019,0,0,0,0.165,5.256,1.595,17.61409975,13.38690497,10.7172754,131.9161726,139.1354292,127.1736583
16/11/2019,127.7543008,70.86056123,56.89373955,1.751,0.427,19.327,12.10137201,8.490957802,6.728491989,62.75216601,71.52267968,67.23692272
23/11/2019,1684.23876,1019.021518,665.2172426,13.393,6.291,7.82,12.39737233,8.746661856,6.615899292,38.52568145,24.62906479,20.70997122
30/11/2019,156.2556031,30.03461966,126.2209834,65.482,11.365,36.212,10.70131921,7.207796809,5.449695951,273.9899334,214.3712183,174.399681
07/12/2019,171.0218181,0,171.0218181,99.526,40.947,237.259,9.527542037,5.792420979,3.595966462,490.1091668,338.5115192,315.8729756
14/12/2019,294.5933051,0,294.5933051,11.892,0.837,201.18,9.343752669,6.009000072,4.471318901,33.27014336,26.89557586,21.23554988
21/12/2019,228.4097763,0,228.4097763,28.161,35.606,195.292,8.862650586,5.287242115,3.431753265,927.3971586,738.5687578,565.4725766
28/12/2019,958.7320575,271.515064,687.2169936,90.14,143.316,377.481,6.803724282,2.530107498,0.137635298,397.7569182,378.8509612,333.8543141
04/01/2020,1739.413212,568.1202437,1171.292969,99.228,491.93,892.562,6.643660121,2.827569911,0.511538154,505.1706575,359.3452067,282.2041151
11/01/2020,2283.069154,1040.060033,1243.00912,44.982,513.33,963.937,7.866321391,4.327806154,2.639121543,158.9722148,192.5382955,204.1883916
18/01/2020,1771.32424,876.0055659,895.3186742,328.661,666.426,747.706,5.758050994,1.855450688,-0.528818444,644.0838507,511.20706,487.9493731
25/01/2020,2803.009922,1594.805605,1208.204317,133.949,980.77,964.006,6.554868004,3.018958977,1.179544514,300.3690128,263.8257532,222.0702195
01/02/2020,1476.914466,326.8834941,1150.030972,4.914,331.595,991.392,8.111286831,4.408812123,2.188496247,301.4048174,282.6788087,223.069426
08/02/2020,815.0414858,435.5567018,379.484784,131.105,101.58,204.314,4.415914268,0.172421137,-2.012512766,574.1379805,546.5682868,488.859474
15/02/2020,1102.428954,276.7308732,825.6980813,11.031,199.663,728.19,8.710180347,5.196979106,2.996528981,169.723529,207.2848274,197.9726631
22/02/2020,802.7826621,125.529338,677.2533241,14.523,109.471,684.761,9.410369625,6.388364909,4.577099703,179.0031115,123.0559298,91.19250482
29/02/2020,1611.76602,757.3744775,854.3915424,8.82,225.472,765.693,10.19308747,7.057263787,5.250668035,447.4744848,398.7263141,340.8821789
07/03/2020,627.3794657,52.87313254,574.5063332,0.872,56.811,557.268,13.49213539,10.88099792,8.970016521,225.3012757,248.1553713,232.6162464
14/03/2020,490.6336311,18.38320491,472.2504262,29.67,44.788,316.928,9.137600365,5.822256111,3.765888657,665.7341174,612.5665846,558.6080981
21/03/2020,805.7744907,207.573398,598.2010927,1.053,87.062,480.076,10.51669731,7.225596452,4.963678876,108.4835475,143.5858104,155.2624244
28/03/2020,0,0,0,20.554,2.599,120.098,11.67748504,8.204618966,6.00976589,396.2522154,414.0008306,363.5690753
04/04/2020,288.7352919,36.74286382,251.992428,4.862,3.656,121.686,12.50865511,9.693695867,7.931992433,180.8387548,126.0327611,117.3623505
11/04/2020,166.9090832,0.103170547,166.8059126,0.213,0.107,183.54,13.35089134,10.40770309,8.200875026,209.5942771,210.3291279,214.5265896
18/04/2020,107.9840076,2.872944742,105.1110628,0,0.257,76.333,16.91633877,14.36802048,12.08200297,47.72656824,52.33729118,79.25758261
25/04/2020,252.3520678,127.1478702,125.2041976,0.31,0.031,98.115,13.46846143,10.72675527,8.805120253,315.0406808,252.2916448,221.816465
02/05/2020,318.5909544,65.5686119,253.0223425,0.192,0.039,44.247,15.07362823,12.53521035,10.71282788,166.3927535,147.4387775,130.5018788
09/05/2020,67.37464382,0,67.37464382,0.081,0,38.227,19.40198683,17.28180596,15.46145853,91.88624529,118.350974,111.9446974
16/05/2020,16.59521229,0,16.59521229,0.028,0,16.479,25.87921655,23.32193837,21.3829031,2.942263448,2.168882855,4.600561924
23/05/2020,96.50497305,0,96.50497305,2.795,0.196,17.617,17.06458341,14.60527355,13.18776306,169.27622,154.0968402,121.2228519
30/05/2020,8.545933329,0,8.545933329,0,0.118,4.443,18.23306938,16.17233044,14.67387863,23.0112396,27.53786389,33.04749456
06/06/2020,1.33941184,0,1.33941184,0,0,0.766,22.21483011,20.49147853,18.85983556,5.417430441,8.673031701,13.42136176
13/06/2020,0.180302896,0,0.180302896,0,0,0.011,20.73466558,18.45995237,16.71591547,16.58042635,6.30160635,5.605162535
20/06/2020,0,0,0,0,0,0.005,21.76770027,19.95636552,18.4844276,3.779636751,1.89193344,3.868904549
27/06/2020,0,0,0,0,0,0,24.0603738,22.29410958,20.57357261,0.632291923,0.147995944,0.30863543
04/07/2020,0,0,0,0,0,0,24.24698743,22.88339012,21.55598056,6.023238686,10.5730533,16.30820304
11/07/2020,0,0,0,0,0,0,24.63222662,22.8376881,21.15434814,1.825842164,1.069910118,0.780984808
18/07/2020,0,0,0,0,0,0,25.56500489,24.34641906,22.93503273,0.387819995,0.070631326,0.049103852
25/07/2020,0,0,0,0.005,0.051,0.03,27.67593752,26.82990095,25.37826167,11.69094639,27.56824042,35.25421692
01/08/2020,0,0,0,0,0,0,25.3146967,23.34634223,21.59595557,2.562348997,3.938822277,5.276958422
08/08/2020,0,0,0,0,0.141,0.086,23.80130785,21.59507661,20.09406845,51.62591951,19.54467137,8.058659317
15/08/2020,0,0,0,0,0,0,24.27000722,22.24271684,20.63957163,0.398865184,0.073288145,0.066330739
22/08/2020,0,0,0,0.011,0,0,24.40608417,22.21226938,20.23596678,2.482640675,2.662485506,3.016153187
29/08/2020,0,0,0,0,0,0,29.08682912,27.52884508,25.42886969,37.65616491,39.8687571,50.36701566
05/09/2020,0,0,0,0,0.002,0.016,28.65111205,27.19938408,24.99921432,7.603438407,13.52541855,12.74791602
12/09/2020,0,0,0,0,0,0,25.72804547,24.10208634,22.36917444,5.622030734,4.147531346,7.254149791
19/09/2020,0,0,0,0,0.028,0,23.84138703,21.67554813,19.88512463,5.263790759,3.673603282,5.876139286
