year,week_of_year,s2_snow_above_1200_smoothed_zscore,s2_snow_1200_1800_smoothed_zscore,s2_snow_above_1800_smoothed_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
2017,17,-0.385386708,-0.285297228,-0.443032995,-0.315914496,-0.377668399,-0.581232153,0.077687936,0.108759235,0.060697578,-0.284323699,-0.05397411,0.150752371
2017,18,-0.452722877,-0.348455749,-0.507240039,-0.316612423,-0.379117441,-0.624776625,0.448747893,0.462306856,0.439083173,-0.673680708,-0.690284306,-0.705339834
2017,19,-0.476474614,-0.343728111,-0.556672536,-0.316612423,-0.379117441,-0.64934228,0.677156968,0.736139718,0.720784814,-0.557741687,-0.495909445,-0.404736519
2017,20,-0.467454455,-0.348455749,-0.534991429,-0.316612423,-0.379101429,-0.658965198,0.003252189,-0.031320167,-0.022714516,0.009096816,0.081173889,-0.079562082
2017,21,-0.484824554,-0.348034113,-0.568131458,-0.316612423,-0.379105432,-0.665688574,0.401957853,0.388645468,0.364506507,-0.678207776,-0.699701035,-0.716310954
2017,22,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,0.954550384,1.006785448,1.002780952,-0.674404155,-0.676245938,-0.678635017
2017,23,-0.485215972,-0.348455749,-0.56845063,-0.316480057,-0.379117441,-0.665250391,0.77901115,0.842467627,0.866055969,-0.664692035,-0.662277898,-0.680143851
2017,24,-0.483446702,-0.348245273,-0.565326426,-0.315770097,-0.379117441,-0.665794697,0.710473846,0.679496803,0.698158448,-0.640227974,-0.669235636,-0.67827886
2017,25,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.29301866,1.344127801,1.348385864,-0.697491427,-0.713717698,-0.749662933
2017,26,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.589203035,1.651419774,1.637879986,-0.687643217,-0.711092098,-0.747901676
2017,27,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.457898666,1.435378372,1.405498777,-0.696540612,-0.712439185,-0.74769645
2017,28,-0.483161849,-0.348049729,-0.564983761,-0.316612423,-0.379117441,-0.665794697,1.452848234,1.512247883,1.533367454,-0.693484714,-0.707040921,-0.739821564
2017,29,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379093423,-0.665794697,1.474858585,1.513997038,1.528070969,-0.694669796,-0.713524396,-0.749562677
2017,30,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.292183348,1.331739529,1.386986828,-0.689597558,-0.707681456,-0.735211559
2017,31,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.371965284,1.460479083,1.508238896,-0.684732033,-0.70490783,-0.738597847
2017,32,-0.485215972,-0.348455749,-0.56845063,-0.316612423,-0.379117441,-0.665794697,1.261372416,1.261267097,1.289490542,-0.672582778,-0.681272336,-0.697585979
2017,33,-0.485215972,-0.348455749,-0.56845063,-0.31619126,-0.379037383,-0.665774157,1.181444764,1.214744138,1.293066256,-0.683622592,-0.708130701,-0.742438614
2017,34,-0.484314976,-0.346744428,-0.56845063,-0.316215327,-0.379117441,-0.665794697,1.07737749,1.109566711,1.166259512,-0.687966152,-0.700681232,-0.732267948
