week_start,s2_snow_above_1200_smoothed_zscore,s2_snow_1200_1800_smoothed_zscore,s2_snow_above_1800_smoothed_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
01/10/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.3166124227553656,-0.379117440744137,-0.6657946965171953,0.7590257076384941,0.7037742421670536,0.6743553532582699,-0.6912347164705399,-0.7090942030296781,-0.7409183425022604
08/10/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.3164680241292503,-0.379117440744137,-0.6657946965171953,0.6403959650986457,0.5976965145272491,0.5647440546671314,-0.6776493219435167,-0.6854045192811609,-0.7155035013592325
15/10/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.3166124227553656,-0.379117440744137,-0.6657946965171953,0.396379677925506,0.35099790488256183,0.332347330609035,-0.659599605915302,-0.6823134297373219,-0.6911394231648067
22/10/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.3127738259444667,-0.3711116848175948,-0.6643295208820158,0.3173892715080837,0.247511893995372,0.19822101757195745,-0.22618080088855164,0.11516115689730157,0.308173926944923
29/10/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.15108346435183423,-0.3430835333187707,-0.6483460978898359,-0.10210781838748559,-0.19823301435107896,-0.2281668002047075,0.7899912094053557,0.6014785125493474,0.3665303440162948
05/11/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.3094165578872854,-0.37768841331124925,-0.6656338010619303,-0.15882679304964029,-0.17781242577440634,-0.1524413617762226,-0.66711653326382,-0.6728355052578894,-0.710819395239374
12/11/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.3053252634806846,-0.37830085363962973,-0.6650552620844878,-0.1530117055543755,-0.1262096172699788,-0.08431396507839753,-0.5666062048715074,-0.6077492248338316,-0.6641114810888593
19/11/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.30514476519804046,-0.37873716733762625,-0.6657946965171953,-0.6398601756398381,-0.7258670113705389,-0.7013615643355401,-0.6969051522390569,-0.7105616687511697,-0.7457148528082178
26/11/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,1.4926301631565682,0.008893528869619341,-0.388541017327508,-0.939361306872135,-0.9948364830573279,-0.9812999915740759,2.817294145020423,2.4574562713223513,2.147603969126031
03/12/2016,-0.4852159720291013,-0.34845574910837745,-0.5684506303106162,-0.24615792642993117,0.02429660327228648,2.1816235249215374,-1.1520356213054188,-1.1951725540927638,-1.1912867422404092,-0.29199064005122416,-0.1697063148964144,-0.09240792163696296
