year,week_of_year,week_start,modis_snow_above_1200,modis_snow_1200_1800,modis_snow_above_1800,modis_snow_above_1200_zscore,modis_snow_1200_1800_zscore,modis_snow_above_1800_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,target_modis_next_week,split
2000,8,2000-02-24,936.058368648729,308.168261614076,627.890107034656,1.2024741930208638,0.7677678917668558,1.4540461110589311,1.2024741930208638,0.7677678917668558,1.4540461110589311,1.4597480559744342,train
2000,9,2000-03-02,1208.98340725841,544.599486616737,664.383920641678,1.7170219189280047,1.644546141214075,1.577227285067832,1.4597480559744342,1.2061570164904654,1.5156366980633815,1.6219680610225347,train
2000,10,2000-03-09,1108.14697738939,461.918741989264,646.228235400123,1.5269142031170646,1.3379340237297939,1.5159446072125233,1.6219680610225347,1.4912400824719345,1.5465859461401776,1.1150260472903035,train
2000,11,2000-03-16,671.201733355113,194.884290371465,476.317442983647,0.7031378914635426,0.3476671965418164,0.9424279253983495,1.1150260472903035,0.8428006101358051,1.2291862663054365,0.5438489100244899,train
2000,12,2000-03-23,502.222456135663,106.733229050607,395.489227085057,0.3845599285854373,0.020769033107834723,0.669600463882586,0.5438489100244899,0.18421811482482556,0.8060141946404678,0.2406108246128971,train
2000,13,2000-03-30,349.516253070548,70.9849958508005,278.531257219749,0.0966617206403569,-0.11179921512335614,0.274820674824471,0.2406108246128971,-0.04551509100776071,0.47221056935352845,0.06662129863612781,train
2000,14,2000-04-06,317.6483313111,35.6294130263634,282.018918284737,0.036580876631898726,-0.24291136419185264,0.2865929217361418,0.06662129863612781,-0.1773552896576044,0.2807067982803064,-0.17112062499888886,train
2000,15,2000-04-13,97.3113732497926,4.62367070244402,92.6877025473487,-0.37882212662967646,-0.3578926255598113,-0.35247543330627235,-0.17112062499888886,-0.30040199487583197,-0.032941255785065265,-0.4477539603248797,train
2000,16,2000-04-20,24.1860928318023,8.45881901479112,15.7272738170112,-0.516685794020083,-0.3436704151743924,-0.6122475707243036,-0.4477539603248797,-0.35078152036710186,-0.48236150201528794,-0.5157731882971226,train
2000,17,2000-04-27,25.154216640863,0.0,25.154216640863,-0.5148605825741622,-0.37503898135297536,-0.5804278793963078,-0.5157731882971226,-0.3593546982636839,-0.5963377250603057,-0.5244052391912282,train
2000,18,2000-05-04,15.0289137988912,0.0,15.0289137988912,-0.533949895808294,-0.37503898135297536,-0.6146048142790398,-0.5244052391912282,-0.37503898135297536,-0.5975163468376739,-0.5403518385792034,train
2000,19,2000-05-11,8.23751082515531,0.0,8.23751082515531,-0.5467537813501127,-0.37503898135297536,-0.6375285076063756,-0.5403518385792034,-0.37503898135297536,-0.6260666609427077,-0.5512283145651862,train
2000,20,2000-05-18,3.49077076977466,0.042895893706934,3.44787487606772,-0.5557028477802596,-0.37487990682044514,-0.65369543895636,-0.5512283145651862,-0.3749594440867102,-0.6456119732813678,-0.5583071908138457,train
2000,21,2000-05-25,0.72799333550947,0.0,0.72799333550947,-0.5609115338474319,-0.37503898135297536,-0.662876123796232,-0.5583071908138457,-0.3749594440867102,-0.6582857813762959,-0.5615626132423673,train
2000,22,2000-06-01,0.0373057275235329,0.0,0.0373057275235329,-0.5622136926373027,-0.37503898135297536,-0.6652074699071447,-0.5615626132423673,-0.37503898135297536,-0.6640417968516883,-0.5622488590283351,train
2000,23,2000-06-08,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622488590283351,-0.37503898135297536,-0.6652704307607717,-0.5622840254193674,train
2000,24,2000-06-15,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,25,2000-06-22,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,26,2000-06-29,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,27,2000-07-06,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,28,2000-07-13,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,29,2000-07-20,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,30,2000-07-27,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,31,2000-08-03,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,32,2000-08-10,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,train
2000,33,2000-08-17,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5620066963817786,train
2000,34,2000-08-24,0.2942002635736,0.25450857650627,0.03969168706733,-0.5617293673441897,-0.3740951653059369,-0.6651994163422061,-0.5620066963817786,-0.37456707332945616,-0.6652664039783025,-0.5620011566267396,train
2000,35,2000-08-31,0.00587676431855326,0.00587676431855326,0.0,-0.5622729459092894,-0.3750171880423347,-0.6653333916143988,-0.5620011566267396,-0.37455617667413577,-0.6652664039783025,-0.5622259664054972,train
2000,36,2000-09-07,0.05571425165286,0.0349672527908768,0.0207469988619832,-0.5621789869017046,-0.3749093092815744,-0.6652633622197046,-0.5622259664054972,-0.3749632486619545,-0.6652983769170517,-0.5622243981219862,train
2000,37,2000-09-14,0.00754045387044083,0.00754045387044083,0.0,-0.5622698093422677,-0.37501101843925916,-0.6653333916143988,-0.5622243981219862,-0.37496016386041675,-0.6652983769170517,-0.5622769173808175,train
2000,38,2000-09-21,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622769173808175,-0.37502499989611726,-0.6653333916143988,-0.5622402297147906,train
2000,39,2000-09-28,0.0464600026810714,0.0134829586939,0.0329770439871713,-0.5621964340102137,-0.3749889813374492,-0.6652220809402822,-0.5622402297147906,-0.37501398134521224,-0.6652777362773405,-0.5622402297147906,train
2000,40,2000-10-05,0.0,0.0,0.0,-0.5622840254193674,-0.37503898135297536,-0.6653333916143988,-0.5622402297147906,-0.37501398134521224,-0.6652777362773405,-0.5605112213169704,train
2000,41,2000-10-12,1.88065209010928,0.843791337221471,1.03686075288781,-0.5587384172145733,-0.37190987735438363,-0.6618335730917356,-0.5605112213169704,-0.37347442935367947,-0.6635834823530672,-0.5393283032264564,train
2000,42,2000-10-19,22.4715743424064,8.59177915658726,13.8797951858191,-0.5199181892383395,-0.34317734764336316,-0.6184835478462674,-0.5393283032264564,-0.3575436124988734,-0.6401585604690014,-0.5225987865290804,train
2000,43,2000-10-26,19.6279037469037,0.326533900525122,19.3013698463786,-0.5252793838198212,-0.37382806760127285,-0.6001835713391224,-0.5225987865290804,-0.358502707622318,-0.6093335595926949,-0.5388580822924289,train
2000,44,2000-11-02,5.22314936431628,0.0,5.22314936431628,-0.5524367807650364,-0.37503898135297536,-0.6477031796105613,-0.5388580822924289,-0.3744335244771241,-0.6239433754748418,-0.5562081932523673,train
2000,45,2000-11-09,1.22230416806894,0.0195689016765416,1.2027352663924,-0.559979605739698,-0.374966412311575,-0.6612736804608453,-0.5562081932523673,-0.37500269683227516,-0.6544884300357033,-0.5602228663883522,train
2000,46,2000-11-16,0.964244833304156,0.0315482453047998,0.932696587999356,-0.5604661270370064,-0.3749219882811374,-0.6621851686870545,-0.5602228663883522,-0.3749442002963562,-0.6617294245739499,-0.5528431471294031,train
2000,47,2000-11-23,9.05096635922505,1.73000819768427,7.32095816154078,-0.5452201672217997,-0.36862344313852047,-0.6406222383510106,-0.5528431471294031,-0.37177271570982895,-0.6514037035190325,-0.356077009571163,train
