year,week_of_year,modis_snow_above_1200_zscore,modis_snow_1200_1800_zscore,modis_snow_above_1800_zscore,modis_snow_above_1200_smoothed_zscore,modis_snow_1200_1800_smoothed_zscore,modis_snow_above_1800_smoothed_zscore,target_modis_next_week,split,temp_1200_zscore,temp_1200_1800_zscore,temp_1800_zscore,temp_1200_smoothed_zscore,temp_1200_1800_smoothed_zscore,temp_1800_smoothed_zscore,precip_1200_zscore,precip_1200_1800_zscore,precip_1800_zscore,precip_1200_smoothed_zscore,precip_1200_1800_smoothed_zscore,precip_1800_smoothed_zscore
2000,8,1.202474193,0.767767892,1.454046111,1.202474193,0.767767892,1.454046111,1.459748056,train,-1.626155048,-1.61642751,-1.642756852,-1.626155048,-1.61642751,-1.642756852,0.35072851,0.365990215,0.320280317,0.35072851,0.365990215,0.320280317
2000,9,1.717021919,1.644546141,1.577227285,1.459748056,1.206157016,1.515636698,1.621968061,train,-1.514563548,-1.525385982,-1.494983477,-1.570359298,-1.570906746,-1.568870164,0.322988935,0.340069256,0.289003457,0.336858722,0.353029736,0.304641887
2000,10,1.526914203,1.337934024,1.515944607,1.621968061,1.491240082,1.546585946,1.115026047,train,-1.225424548,-1.240682172,-1.198124026,-1.369994048,-1.383034077,-1.346553752,-0.541221414,-0.533279499,-0.556119106,-0.109116239,-0.096605121,-0.133557825
2000,11,0.703137891,0.347667197,0.942427925,1.115026047,0.84280061,1.229186266,0.54384891,train,-0.878586148,-0.882539804,-0.871324552,-1.052005348,-1.061610988,-1.034724289,-0.321058527,-0.341554639,-0.280363542,-0.431139971,-0.437417069,-0.418241324
2000,12,0.384559929,0.020769033,0.669600464,0.54384891,0.184218115,0.806014195,0.240610825,train,-0.89340157,-0.893667296,-0.892634971,-0.885993859,-0.88810355,-0.881979762,0.092532234,0.101956998,0.073891486,-0.114263146,-0.119798821,-0.103236028
2000,13,0.096661721,-0.111799215,0.274820675,0.240610825,-0.045515091,0.472210569,0.066621299,train,-0.018278916,-0.014981617,-0.024084272,-0.455840243,-0.454324456,-0.458359621,-0.598083641,-0.597335559,-0.598771038,-0.252775703,-0.24768928,-0.262439776
2000,14,0.036580877,-0.242911364,0.286592922,0.066621299,-0.17735529,0.280706798,-0.171120625,train,-0.316646444,-0.316865908,-0.316153927,-0.16746268,-0.165923763,-0.170119099,0.502552766,0.517330621,0.472856679,-0.047765438,-0.040002469,-0.06295718
2000,15,-0.378822127,-0.357892626,-0.352475433,-0.171120625,-0.300401995,-0.032941256,-0.44775396,train,0.142593627,0.139316484,0.148321955,-0.087026408,-0.088774712,-0.083915986,-0.555667581,-0.560357189,-0.54572541,-0.026557408,-0.021513284,-0.036434365
2000,16,-0.516685794,-0.343670415,-0.612247571,-0.44775396,-0.35078152,-0.482361502,-0.515773188,train,-0.504033483,-0.492777829,-0.523703194,-0.180719928,-0.176730672,-0.187690619,0.260009733,0.242758709,0.293567796,-0.147828924,-0.15879924,-0.126078807
2000,17,-0.514860583,-0.375038981,-0.580427879,-0.515773188,-0.359354698,-0.596337725,-0.524405239,train,-0.024439449,-0.018280974,-0.035285542,-0.264236466,-0.255529402,-0.279494368,0.113526951,0.094686045,0.150400805,0.186768342,0.168722377,0.2219843
