week_start,snow_km2 MODIS,snow_km2 SENTI2
31/10/2020,94.331,41.799
07/11/2020,51.493,46.562
14/11/2020,71.619,143.813
21/11/2020,46.031,99.01
28/11/2020,55.853,5.257
05/12/2020,100.483,147.871
12/12/2020,458.311,30.044
19/12/2020,277.45,233.726
26/12/2020,172.976,251.098
02/01/2021,139.196,188.437
09/01/2021,202.572,587.038
16/01/2021,"2,047.19",484.798
23/01/2021,"1,652.86","1,808.02"
30/01/2021,"1,142.46","1,038.92"
06/02/2021,542.373,729.325
13/02/2021,427.715,575.072
20/02/2021,"1,989.81","2,288.26"
27/02/2021,916.182,296.309
06/03/2021,548.655,667.196
13/03/2021,403.678,388.361
20/03/2021,234.284,250.278
27/03/2021,822.198,389.263
03/04/2021,292.361,0
10/04/2021,417.07,314.601
17/04/2021,70.737,108.682
24/04/2021,35.156,58.151
01/05/2021,16.288,25.767
08/05/2021,7.773,16.185
15/05/2021,2.643,6.401
22/05/2021,0.289,2.996
29/05/2021,0.003,5.766
05/06/2021,0.223,0
12/06/2021,0,0
19/06/2021,0.072,6.129
26/06/2021,0,6.233
03/07/2021,0.024,3.858
10/07/2021,0,2.285
17/07/2021,0.028,5.402
24/07/2021,0.014,3.437
31/07/2021,0.024,5.194
07/08/2021,0.728,4.385
14/08/2021,0,7.412
21/08/2021,0,6.184
28/08/2021,0,3.932
04/09/2021,0,4.712
11/09/2021,0.222,10.15
18/09/2021,0.176,6.404
25/09/2021,0,271.961
02/10/2021,0,5.408
09/10/2021,0.399,0.303
16/10/2021,0.182,27.876
23/10/2021,2.661,8.343
30/10/2021,6.072,0
06/11/2021,0,0.46
13/11/2021,6.208,3.208
20/11/2021,34.298,244.322
27/11/2021,121.971,"1,872.98"
04/12/2021,178.092,174.006
11/12/2021,336.665,616.991
18/12/2021,926.254,"2,564.31"
25/12/2021,"1,111.92","1,314.85"
01/01/2022,785.962,404.829
08/01/2022,480.84,569.708
15/01/2022,"1,935.62","4,196.94"
22/01/2022,"2,664.93","3,273.68"
29/01/2022,"3,034.76","4,372.97"
05/02/2022,"2,249.28","2,367.59"
12/02/2022,"1,842.73","1,243.32"
19/02/2022,"1,243.17","1,258.58"
26/02/2022,"1,061.18",583.989
05/03/2022,754.971,41.594
12/03/2022,"1,617.95","3,262.20"
19/03/2022,287.327,0
26/03/2022,"1,344.40","2,100.91"
02/04/2022,600.549,0
09/04/2022,299.964,312.215
16/04/2022,172.614,128.576
23/04/2022,95.533,58.693
30/04/2022,39.707,37.114
07/05/2022,27.026,24.839
14/05/2022,14.35,6.616
21/05/2022,6.705,1.668
28/05/2022,1.705,0.928
04/06/2022,0.223,0.052
11/06/2022,0.189,0
18/06/2022,0,0
25/06/2022,3.279,0
02/07/2022,0.149,0
09/07/2022,0.437,0
16/07/2022,0,0
23/07/2022,0.051,0
30/07/2022,0,0
06/08/2022,0,0
13/08/2022,0,0
20/08/2022,0.05,0
27/08/2022,0,0
03/09/2022,0.018,0
10/09/2022,0.024,0
17/09/2022,0.008,0
24/09/2022,0,0
01/10/2022,0,0
08/10/2022,0.015,0
15/10/2022,0,0
22/10/2022,4.687,0
29/10/2022,11.587,0
05/11/2022,11.431,14.567
12/11/2022,36.025,4.945
19/11/2022,100.92,0
26/11/2022,189.7,102.18
03/12/2022,111.866,58.988
10/12/2022,67.313,69.97
17/12/2022,128.318,0.208
24/12/2022,572.833,9.457
31/12/2022,253.666,328.054
07/01/2023,436.806,433.938
14/01/2023,481.156,450.245
21/01/2023,261.58,290.1
28/01/2023,"1,051.13",39.319
04/02/2023,"2,307.34","3,479.96"
11/02/2023,"2,637.09","2,870.73"
18/02/2023,"2,099.48","2,675.69"
25/02/2023,"1,190.53","1,285.73"
04/03/2023,640.052,54.63
11/03/2023,466.907,569.878
18/03/2023,157.077,118.494
25/03/2023,209.437,301.958
01/04/2023,223.367,100.418
08/04/2023,655.578,46.601
15/04/2023,193.835,750.576
22/04/2023,47.55,44.732
29/04/2023,99.638,22.842
06/05/2023,24.701,21.901
13/05/2023,12.525,11.044
20/05/2023,5.547,3.95
27/05/2023,25.09,1.339
03/06/2023,0.892,0.069
10/06/2023,0.145,0
17/06/2023,0.004,0
24/06/2023,0.052,0
01/07/2023,0,0
08/07/2023,0,0
15/07/2023,0,0
22/07/2023,0.08,0
29/07/2023,0,0
05/08/2023,0.041,0
12/08/2023,2.597,0
19/08/2023,0.067,0
26/08/2023,0.589,0
02/09/2023,0,0
09/09/2023,0.628,0
16/09/2023,0,0
23/09/2023,0,0
30/09/2023,3.261,0
07/10/2023,28.226,0
14/10/2023,31.666,0
21/10/2023,0.607,0
28/10/2023,8.64,0.619
04/11/2023,0,0
11/11/2023,3.571,0.412
18/11/2023,183.122,381.21
25/11/2023,244.061,175.379
02/12/2023,134.045,4.951
09/12/2023,225.436,13.764
16/12/2023,138.53,0
23/12/2023,431.796,485.549
30/12/2023,246.522,72.194
06/01/2024,320.829,0
13/01/2024,"1,002.12",421.166
20/01/2024,903.52,"1,032.20"
27/01/2024,"1,373.94",4.613
03/02/2024,"1,335.92","1,373.64"
10/02/2024,"1,034.48",0.675
17/02/2024,875.29,157.521
24/02/2024,673.904,760.475
02/03/2024,588.679,690.077
09/03/2024,463.301,541.449
16/03/2024,363.517,57.248
23/03/2024,303.336,242.873
30/03/2024,204.45,252.741
06/04/2024,154.149,0
13/04/2024,97.611,88.532
20/04/2024,59.057,51.902
27/04/2024,18.287,27.614
04/05/2024,47.81,23.743
11/05/2024,12.417,18.42
18/05/2024,6.067,2.824
25/05/2024,0.769,0.12
01/06/2024,0.02,0
