week_start,snow_km2
2016-10-01,0
2016-10-08,0
2016-10-15,0
2016-10-22,0
2016-10-29,0
2016-11-05,0
2016-11-12,0
2016-11-19,0
2016-11-26,0
2016-12-03,0
2016-12-10,0
2016-12-17,0
2016-12-24,0
2016-12-31,0
2017-01-07,168.845
2017-01-14,0
2017-01-21,0
2017-01-28,0
2017-02-04,1.033
2017-02-11,0
2017-02-18,0
2017-02-25,0
2017-03-04,0
2017-03-11,0
2017-03-18,0
2017-03-25,0
2017-04-01,186.499
2017-04-08,3.193
2017-04-15,75.1
2017-04-22,0
2017-04-29,38.94
2017-05-06,18.273
2017-05-13,5.316
2017-05-20,13.51
2017-05-27,0.457
2017-06-03,0
2017-06-10,4.195
2017-06-17,1.355
2017-06-24,0.028
2017-07-01,0
2017-07-08,0
2017-07-15,1.266
2017-07-22,0
2017-07-29,0.829
2017-08-05,3.85
2017-08-12,0
2017-08-19,0.01
2017-08-26,10.021
2017-09-02,0
2017-09-09,0
2017-09-16,9.987
2017-09-23,10.897
2017-09-30,0
2017-10-07,3.113
2017-10-14,0
2017-10-21,0
2017-10-28,31.738
2017-11-04,10.389
2017-11-11,1.059
2017-11-18,0
2017-11-25,183.313
2017-12-02,869.742
2017-12-09,0
2017-12-16,299.879
2017-12-23,8.112
2017-12-30,0
2018-01-06,400.481
2018-01-13,818.774
2018-01-20,386.469
2018-01-27,"1,334.495"
2018-02-03,0
2018-02-10,0
2018-02-17,0.217
2018-02-24,359.144
2018-03-03,253.013
2018-03-10,194.74
2018-03-17,150.668
2018-03-24,77.466
2018-03-31,64.124
2018-04-07,16.927
2018-04-14,12.918
2018-04-21,10.587
2018-04-28,6.731
2018-05-05,3.804
2018-05-12,0.823
2018-05-19,0
2018-05-26,1.921
2018-06-02,1.662
2018-06-09,0
2018-06-16,1.345
2018-06-23,0
2018-06-30,0.623
2018-07-07,0.055
2018-07-14,0.522
2018-07-21,0
2018-07-28,0
2018-08-04,3.284
2018-08-11,2.15
2018-08-18,7.024
2018-08-25,6.283
2018-09-01,7.407
2018-09-08,21.658
2018-09-15,8.986
2018-09-22,6.025
2018-09-29,9.332
2018-10-06,3.23
2018-10-13,10.325
2018-10-20,0
2018-10-27,29.352
2018-11-03,14.287
2018-11-10,115.518
2018-11-17,255.706
2018-11-24,109.176
2018-12-01,18.656
2018-12-08,896.448
2018-12-15,205.897
2018-12-22,600.263
2018-12-29,"1,268.181"
2019-01-05,"3,120.807"
2019-01-12,"1,900.156"
2019-01-19,"3,458.839"
2019-01-26,"2,242.704"
2019-02-02,"1,501.987"
2019-02-09,"1,007.73"
2019-02-16,"1,504.691"
2019-02-23,"1,296.561"
2019-03-02,479.122
2019-03-09,"1,086.843"
2019-03-16,"1,150.949"
2019-03-23,0.146
2019-03-30,4.821
2019-04-06,465.846
2019-04-13,0.577
2019-04-20,361.464
2019-04-27,283.229
2019-05-04,108.198
2019-05-11,130.732
2019-05-18,63.982
2019-05-25,36.056
2019-06-01,10.031
2019-06-08,7.626
2019-06-15,1.666
2019-06-22,6.18
2019-06-29,3.012
2019-07-06,0
2019-07-13,4.763
2019-07-20,7.1
2019-07-27,6.648
2019-08-03,6.635
2019-08-10,0.008
2019-08-17,8.423
2019-08-24,4.312
2019-08-31,9.438
2019-09-07,13.166
2019-09-14,0
2019-09-21,0.312
2019-09-28,10.765
2019-10-05,10.506
2019-10-12,0.535
2019-10-19,0.153
2019-10-26,244.286
2019-11-02,240.253
2019-11-09,0
2019-11-16,44.344
2019-11-23,4.117
2019-11-30,260.014
2019-12-07,183.234
2019-12-14,295.602
2019-12-21,235.331
2019-12-28,958.383
2020-01-04,"1,726.417"
2020-01-11,"2,207.374"
2020-01-18,"1,788.121"
2020-01-25,"3,083.028"
2020-02-01,"1,475.891"
2020-02-08,445.575
2020-02-15,"1,508.963"
2020-02-22,826.067
2020-02-29,"1,557.191"
2020-03-07,627.361
2020-03-14,495.606
2020-03-21,848.709
2020-03-28,0
2020-04-04,190.282
2020-04-11,166.387
2020-04-18,81.743
2020-04-25,380.968
2020-05-02,21.039
2020-05-09,70.167
2020-05-16,16.832
2020-05-23,100.232
2020-05-30,13.119
2020-06-06,1.305
2020-06-13,0.773
2020-06-20,4.363
2020-06-27,0
2020-07-04,0
2020-07-11,6.025
2020-07-18,3.956
2020-07-25,3.324
2020-08-01,5.654
2020-08-08,4.792
2020-08-15,7.971
2020-08-22,11.166
2020-08-29,7.333
2020-09-05,4.918
2020-09-12,4.259
2020-09-19,11.97
2020-09-26,5.81
2020-10-03,0
2020-10-10,4.9
2020-10-17,8.158
2020-10-24,7.105
2020-10-31,41.799
2020-11-07,46.562
2020-11-14,143.813
2020-11-21,99.01
2020-11-28,5.257
2020-12-05,147.871
2020-12-12,30.044
2020-12-19,233.726
2020-12-26,251.098
2021-01-02,188.437
2021-01-09,587.038
2021-01-16,484.798
2021-01-23,"1,808.022"
2021-01-30,"1,038.916"
2021-02-06,729.325
2021-02-13,575.072
2021-02-20,"2,288.258"
2021-02-27,296.309
2021-03-06,667.196
2021-03-13,388.361
2021-03-20,250.278
2021-03-27,389.263
2021-04-03,0
2021-04-10,314.601
2021-04-17,108.682
2021-04-24,58.151
2021-05-01,25.767
2021-05-08,16.185
2021-05-15,6.401
2021-05-22,2.996
